id,x,y,z 
1,1048051.415,747757.271,267.448
2,1048053.587,747763.474,266.661
3,1048059.47,747766.973,266.193
4,1048060.948,747761.569,266.352
5,1048062.757,747761.159,266.3
6,1048063.23,747761.443,266.272
7,1048066.28,747758.151,265.985
8,1048066.133,747756.311,266.219
9,1048075.756,747746.679,264.548
10,1048073.393,747748.837,264.27
11,1048071.814,747749.682,264.882
12,1048069.519,747751.661,265.568
13,1048065.712,747764.181,264.117
14,1048071.295,747765.295,261.307
15,1048069.898,747763.76,262.662
16,1048070.29,747757.502,263.822
17,1048071.217,747758.215,262.725
18,1048075.466,747753.826,262.259
19,1048074.54,747752.503,262.766
20,1048074.651,747764.663,260.165
21,1048077.783,747766.184,257.992
22,1048078.383,747766.538,257.6
23,1048079.619,747767.32,257.808
24,1048079.844,747768.844,258.189
25,1048080.899,747769.684,258.268
26,1048084.999,747769.4,259.588
27,1048086.74,747769.595,259.752
28,1048088.168,747769.128,261.112
29,1048088.548,747771.192,261.503
30,1048090.311,747771.344,262.61
31,1048089.827,747768.137,261.721
32,1048093.473,747763.62,263.382
33,1048089.925,747763.842,261.26
34,1048091.769,747760.541,262.227
35,1048091.897,747759.396,261.967
36,1048091.17,747758.89,261.832
37,1048070.412,747748.77,266.24
38,1048071.326,747748.64,265.699
39,1048073.52,747745.94,266.29
40,1048077.77,747742.301,265.224
41,1048075.885,747741.47,266.325
42,1048081.595,747740.2,263.219
43,1048079.784,747748.193,261.878
44,1048076.939,747749.52,262.683
45,1048076.217,747750.638,262.683
46,1048076.594,747751.246,262.558
47,1048077.458,747749.509,262.473
48,1048077.132,747750.226,262.192
49,1048080.945,747752.19,260.672
50,1048080.62,747752.935,260.2
51,1048081.415,747752.97,260.592
52,1048078.797,747754.227,261.717
53,1048078.161,747757.141,261.215
54,1048077.276,747756.578,261.703
55,1048077.361,747759.263,260.932
56,1048079.843,747755.402,260.831
57,1048081.202,747755.604,259.706
58,1048081.777,747754.307,259.54
59,1048083.934,747755.953,258.231
60,1048084.837,747757.52,258.103
61,1048080.75,747760.8,258.563
62,1048081.726,747760.559,257.813
63,1048082.718,747760.931,258.402
64,1048082.838,747762.636,258.799
65,1048081.602,747764.854,258.703
66,1048084.93,747763.107,258.891
67,1048084.763,747759.266,258.691
68,1048093.391,747755.926,262.805
69,1048094.384,747756.126,262.958
70,1048092.669,747755.312,262.459
71,1048097.28,747754.38,263.727
72,1048097.991,747752.308,263.73
73,1048096.476,747752.53,263.547
74,1048097.438,747749.892,263.754
75,1048098.896,747750.17,264.14
76,1048098.425,747746.875,264.499
77,1048098.662,747744.641,264.754
78,1048096.69,747748.683,262.95
79,1048095.474,747751.571,262.844
80,1048093.41,747753.922,262.122
81,1048091.789,747751.216,260.658
82,1048089.997,747754.865,260.64
83,1048093.794,747749.736,261.27
84,1048094.128,747743.131,261.567
85,1048086.203,747752.806,258.414
86,1048087.17,747753.157,258.404
87,1048084.559,747753.66,258.681
88,1048088.479,747750.1,258.762
89,1048085.498,747748.816,259.245
90,1048083.562,747747.52,260.589
91,1048084.315,747748.288,259.891
92,1048089.907,747746.908,259.473
93,1048089.609,747746.595,259.103
94,1048085.619,747745.406,259.295
95,1048103.15,747737.225,266.391
96,1048104.135,747738.629,266.687
97,1048102.339,747742.898,266.66
98,1048098.85,747744.253,264.826
99,1048079.12,747734.383,266.377
100,1048081.728,747732.692,265.438
101,1048080.611,747731.945,265.993
102,1048083.614,747730.573,265.658
103,1048081.795,747729.468,266.448
104,1048083.416,747727.843,267.23
105,1048081.626,747727.102,268.53
106,1048084.125,747729.751,265.88
107,1048087.791,747725.554,265.704
108,1048084.171,747724.887,267.771
109,1048084.249,747724.472,267.92
110,1048088.995,747720.291,267.472
111,1048090.909,747717.664,267.187
112,1048090.644,747716.359,267.414
113,1048092.121,747715.937,266.531
114,1048092.95,747717.706,265.955
115,1048093.713,747720.699,264.214
116,1048093.814,747722.907,263.383
117,1048090.822,747726.113,264.268
118,1048090.23,747727.624,264.256
119,1048088.978,747731.322,262.736
120,1048084.904,747733.469,262.938
121,1048085.47,747737.846,262.247
122,1048086.838,747742.922,259.3
123,1048086.122,747743.272,259.436
124,1048090.637,747742.873,259.366
125,1048093.25,747736.113,259.578
126,1048092.201,747734.63,259.585
127,1048089.306,747737.628,259.534
128,1048090.568,747738.468,259.305
129,1048093.671,747736.202,260.17
130,1048094.446,747735.383,260.216
131,1048095.964,747734.817,261.59
132,1048096.388,747733.244,261.133
133,1048092.347,747740.565,259.997
134,1048091.858,747743.93,260.475
135,1048104.223,747717.54,263.262
136,1048101.159,747727.93,262.593
137,1048096.717,747729.509,259.863
138,1048095.146,747728.572,259.868
139,1048098.391,747726.845,260.651
140,1048106.892,747730.229,266.958
141,1048107.87,747725.615,266.471
142,1048111.386,747717.923,266.611
143,1048114.142,747708.847,267.472
144,1048115.645,747705.82,267.391
145,1048109.416,747703.852,264.846
146,1048105.877,747710.338,263.74
147,1048103.216,747708.42,262.357
148,1048103.986,747707.757,262.617
149,1048101.572,747711.777,261.616
150,1048101.145,747713.899,261.822
151,1048101.43,747713.368,261.461
152,1048100.393,747714.653,260.571
153,1048099.481,747714.451,260.64
154,1048099.428,747717.859,260.457
155,1048098.557,747717.567,260.458
156,1048099.829,747719.397,261.117
157,1048099.874,747721.564,261.389
158,1048096.891,747722.442,260.219
159,1048098.223,747722.72,260.82
160,1048099.354,747713.29,261.264
161,1048094.431,747716.203,264.512
162,1048093.194,747713.912,264.902
163,1048092.764,747713.74,265.75
164,1048093.606,747712.101,264.409
165,1048095.927,747712.544,263.321
166,1048098.311,747711.514,262.327
167,1048094.579,747708.613,265.406
168,1048093.689,747707.748,266.495
169,1048095.138,747706.35,267.2
170,1048097.316,747707.902,265.106
171,1048099.723,747702.286,265.61
172,1048100.287,747697.345,266.649
173,1048097.894,747695.18,269.151
174,1048097.853,747698.813,267.536
175,1048102.862,747705.936,262.217
176,1048102.157,747705.607,262.146
177,1048101.766,747707.62,261.583
178,1048101.245,747707.9,261.686
179,1048102.47,747710.493,261.968
180,1048101.62,747709.771,261.689
181,1048100.74,747709.498,261.548
182,1048103.818,747706.175,262.37
183,1048108.17,747683.796,264.89
184,1048104.764,747705.468,262.806
185,1048104.908,747704.598,262.808
186,1048105.317,747702.267,262.501
187,1048104.61,747701.745,262.38
188,1048106.118,747701.579,263.336
189,1048106.364,747702.541,263.373
190,1048106.685,747696.413,262.66
191,1048105.878,747695.869,262.658
192,1048107.34,747694.829,263.516
193,1048106.617,747694.544,263.475
194,1048107.962,747694.887,263.758
195,1048107.331,747691.955,263.63
196,1048108.522,747692.64,263.773
197,1048107.148,747686.983,264.5
198,1048109.563,747687.339,264.57
199,1048110.862,747684.667,264.439
200,1048109.45,747684.869,264.386
201,1048106.632,747680.673,264.373
202,1048107.254,747676.115,264.463
203,1048108.8,747676.162,264.551
204,1048108.766,747676.618,264.738
205,1048110.107,747679.45,264.543
206,1048104.208,747683.288,266.97
207,1048100.797,747685.57,268.517
208,1048099.39,747684.84,269.616
209,1048104.11,747689.142,265.869
210,1048098.776,747690.879,269.98
211,1048101.192,747691.97,267.408
212,1048101.745,747678.302,267.862
213,1048099.328,747679.21,269.507
214,1048097.993,747679.79,270.165
215,1048102.315,747676.205,267.599
216,1048113.383,747701.263,266.436
217,1048114.23,747696.21,266.323
218,1048118.104,747698.861,267.246
219,1048120.699,747691.37,268.722
220,1048114.504,747690.876,266.492
221,1048111.999,747682.58,265.756
222,1048108.295,747673.842,264.615
223,1048114.777,747676.639,267.327
224,1048119.872,747678.791,268.991
225,1048119.279,747668.302,269.483
226,1048115.63,747671.112,267.939
227,1048115.264,747658.103,267.822
228,1048112.326,747652.699,266.912
229,1048111.235,747655.232,265.62
230,1048109.828,747656.59,265.648
231,1048109.642,747660.255,265.247
232,1048111.515,747661.113,265.359
233,1048111.846,747661.406,265.979
234,1048109.42,747665.814,265.8
235,1048110.504,747666.44,264.958
236,1048109.832,747670.894,264.777
237,1048108.343,747670.13,264.794
238,1048111.704,747670.34,265.911
239,1048103.367,747672.12,267.707
240,1048099.597,747675.337,270.327
241,1048098.426,747673.782,271.22
242,1048098.994,747673.821,270.89
243,1048104.81,747662.759,268.579
244,1048106.152,747652.741,268.155
245,1048106.57,747657.495,268.576
246,1048104.309,747650.484,268.567
247,1048100.459,747648.339,269.193
248,1048103.803,747647.892,267.534
249,1048108.924,747650.995,265.91
250,1048109.851,747650.399,265.919
251,1048105.576,747647.961,266.271
252,1048106.137,747647.345,266.165
253,1048103.269,747646.678,266.379
254,1048103.723,747645.358,266.36
255,1048115.811,747651.945,268.721
256,1048118.582,747653.843,269.954
257,1048118.741,747657.649,269.564
258,1048122.33,747657.649,271.472
259,1048128.347,747659.341,271.462
260,1048127.781,747651.951,271.714
261,1048121.791,747651.335,271.76
262,1048123.675,747650.61,271.913
263,1048120.72,747645.66,271.772
264,1048118.6,747647.239,270.67
265,1048117.935,747646.194,270.754
266,1048117.965,747640.533,271.471
267,1048115.345,747644.175,270.4
268,1048114.986,747641.239,270.487
269,1048112.442,747641.943,270.59
270,1048110.166,747638.619,271.962
271,1048114.498,747638.366,271.735
272,1048114.894,747637.686,271.988
273,1048110.629,747637.64,272.734
274,1048108.263,747635.489,272.576
275,1048107.777,747635.592,272.575
276,1048108.303,747637.146,272.492
277,1048109.126,747637.477,272.529
278,1048107.603,747640.292,270.825
279,1048106.696,747641.737,269.27
280,1048109.163,747644.942,268.173
281,1048111.122,747644.55,268.862
282,1048112.427,747645.974,268.37
283,1048113.374,747647.276,268.51
284,1048112.896,747648.67,267.81
285,1048104.289,747643.243,267.31
286,1048098.871,747640.108,267.159
287,1048100.865,747643.272,266.862
288,1048098.573,747641.887,267.484
289,1048103.263,747643.141,266.861
290,1048101.329,747640.849,267.11
291,1048100.404,747638.892,267.2
292,1048099.207,747638.22,267.145
293,1048100.312,747635.755,267.393
294,1048100.26,747634.373,267.734
295,1048099.38,747634.22,267.616
296,1048100.757,747633.773,267.949
297,1048099.803,747633.252,268.99
298,1048101.462,747632.34,268.455
299,1048101.873,747632.542,268.365
300,1048101.294,747633.813,268.714
301,1048100.957,747635.618,268.283
302,1048101.205,747637.873,268.26
303,1048101.566,747637.883,268.129
304,1048102.483,747635.175,268.588
305,1048102.899,747633.525,268.897
306,1048104.731,747634.238,270.491
307,1048105.435,747637.337,270.918
308,1048107.85,747633.851,272.323
309,1048108.568,747633.42,272.621
310,1048096.499,747629.826,271.171
311,1048094.434,747628.844,272.798
312,1048093.492,747629.186,272.999
313,1048092.36,747633.631,272.879
314,1048094.872,747634.755,271.123
315,1048096.151,747635.324,270.258
316,1048095.42,747639.17,270.47
317,1048096.365,747641.163,269.541
318,1048094.306,747642.882,270.994
319,1048092.102,747644.77,272.41
320,1048090.466,747639.878,273.347
321,1048091.504,747638.668,272.613
322,1048096.488,747644.94,269.668
323,1048129.582,747665.49,271.62
324,1048122.364,747664.3,271.341
325,1048119.17,747661.492,269.711
326,1048119.132,747663.367,269.742
327,1048129.42,747640.607,272.77
328,1048122.288,747639.22,272.21
329,1048100.22,747667.647,271.574
330,1048100.396,747667.857,270.635
331,1048100.209,747664.891,271.714
332,1048100.72,747665.719,271.684
333,1048102.91,747659.955,271.773
334,1048102.834,747659.645,270.831
335,1048101.679,747659.5,271.8
336,1048101.887,747656.939,271.706
337,1048102.311,747656.944,271.563
338,1048102.692,747653.906,271.441
339,1048101.671,747653.913,271.579
340,1048100.33,747651.89,271.798
341,1048100.745,747652.14,271.158
342,1048097.498,747649.115,271.498
343,1048095.651,747648.7,272.131
344,1048095.614,747648.593,272.449
345,1048096.211,747649.284,272.333
346,1048095.576,747646.121,270.806
